+------+--------+--------+-------+-------+--------+----------+----------------------------------+----------+----------+----------+----------+-----------+-----------+-----------+-----------+-----------+-----------+-------------+-------------+-----------+-----------+-----------+-----------+-----------+-----------+----------+----------+----------+-------------------+------------------+------------------+-------+--------+-------+----------------+-------+---------------+--------+-----------+--------+----------------+--------+--------------+--------+----------------+-------------+-----------------+-----------+---------------+------------+----------------+-------+-------+-----------+----------------+-----------------+------------+------------+------------+------------+--------------+--------------+--------------------+--------------------+--------------------+--------------------+--------------+
| iden | RA     | DEC    | z     | zconf | logM   | DL_Mpc   | DL_cm                            | Hb_rest  | O3_rest  | Ha_rest  | N2_rest  | SIIa_rest | SIIb_rest | Hb_center | O3_center | Ha_center | N2_center | SIIa_center | SIIb_center | Hb_flux   | O3_flux   | Ha_flux   | N2_flux   | SIIa_flux | SIIb_flux | Hb_dflux | O3_dflux | Ha_dflux | N2_dflux          | SIIa_dflux       | SIIb_dflux       | R1    | R1_err | R2    | R2_err         | R3    | R3_err        | logR1  | logR1_err | logR2  | logR2_err      | logR3  | logR3_err    | O3N2   | O3N2_err       | 12+log(O/H) | 12+log(O/H)_err | EW_Hb_obs | EW_Hb_obs_err | EW_Hb_rest | EW_Hb_rest_err | SFR   | d_SFR | log10_SFR | d_log10_SFR_up | d_log10_SFR_low | flag_Hb_SN | flag_Ha_SN | flag_N2_SN | flag_O3_SN | flag_SIIa_SN | flag_SIIb_SN | flag_negative_flux | flag_large_errorR1 | flag_large_errorR2 | flag_large_errorR3 | quality_flag |
+------+--------+--------+-------+-------+--------+----------+----------------------------------+----------+----------+----------+----------+-----------+-----------+-----------+-----------+-----------+-----------+-------------+-------------+-----------+-----------+-----------+-----------+-----------+-----------+----------+----------+----------+-------------------+------------------+------------------+-------+--------+-------+----------------+-------+---------------+--------+-----------+--------+----------------+--------+--------------+--------+----------------+-------------+-----------------+-----------+---------------+------------+----------------+-------+-------+-----------+----------------+-----------------+------------+------------+------------+------------+--------------+--------------+--------------------+--------------------+--------------------+--------------------+--------------+
| 101  | 39.977 | -1.560 | 0.373 | 3     | 9.140  | 2027.343 | 6255732329948921641209692160.000 | 4862.908 | 5008.551 | 6564.453 | 6584.777 | 6718.658  | 6733.070  | 6676.238  | 6876.190  | 9012.272  | 9040.175  | 9223.979    | 9243.765    | 217.401   | 141.547   | 1644.740  | 776.690   | 397.212   | 261.241   | 35.982   | 41.283   | 60.591   | 63.211            | 53.959           | 54.601           | 0.369 | 0.127  | 0.472 | 0.042          | 0.400 | 0.049         | -0.433 | 0.150     | -0.326 | 0.039          | -0.398 | 0.053        | -0.108 | 0.155          | 8.764       | 0.050           | 3.914     | 0.759         | 2.851      | 0.553          | 0.145 | 0.056 | -0.839    | 0.142          | 0.212           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 1081 | 39.947 | -1.553 | 0.364 | 3     | 8.780  | 1971.074 | 6082105092523581649786503168.000 | 4862.120 | 5007.671 | 6563.752 | 6589.665 | 6717.857  | 6717.857  | 6632.612  | 6831.164  | 8953.877  | 8989.226  | 9164.098    | 9164.098    | 997.869   | 3585.550  | 3528.020  | 1007.080  | 513.692   | 513.692   | 73.563   | 75.759   | 160.453  | 7638490000000.000 | 111.427          | 111.427          | 3.284 | 0.270  | 0.285 | 2165092601.516 | 0.291 | 0.047         | 0.516  | 0.036     | -0.544 | 3294032308.330 | -0.536 | 0.069        | 1.061  | 3294032308.330 | 8.391       | 1054090338.666  | 31.859    | 11.019        | 23.355     | 8.078          | 0.166 | 0.032 | -0.780    | 0.076          | 0.092           | False      | False      | True       | False      | False        | False        | False              | False              | True               | False              | True         |
| 1081 | 39.947 | -1.553 | 0.364 | 3     | 8.780  | 1971.074 | 6082105092523581649786503168.000 | 4862.178 | 5007.690 | 6563.802 | 6586.010 | 6717.553  | 6717.553  | 6632.692  | 6831.190  | 8953.945  | 8984.240  | 9163.683    | 9163.683    | 2877.720  | 9297.930  | 9641.090  | 1029.360  | 1412.260  | 1412.260  | 199.895  | 198.289  | 362.210  | 535.618           | 279.121          | 279.121          | 2.907 | 0.227  | 0.107 | 0.056          | 0.293 | 0.042         | 0.463  | 0.034     | -0.972 | 0.227          | -0.533 | 0.063        | 1.435  | 0.229          | 8.271       | 0.073           | 26.950    | 7.791         | 19.756     | 5.711          | 0.394 | 0.069 | -0.405    | 0.070          | 0.083           | False      | False      | True       | False      | False        | False        | False              | False              | False              | False              | True         |
| 1086 | 39.951 | -1.553 | 0.373 | 3     | 8.670  | 2025.795 | 6250955027519720915111772160.000 | 4862.006 | 5007.706 | 6563.850 | 6584.955 | 6717.822  | 6732.775  | 6673.833  | 6873.828  | 9009.869  | 9038.838  | 9221.218    | 9241.743    | 3199.280  | 11232.900 | 10289.800 | 889.023   | 1611.150  | 987.979   | 172.860  | 179.513  | 291.238  | 287.534           | 299.855          | 285.641          | 3.199 | 0.189  | 0.086 | 0.028          | 0.253 | 0.041         | 0.505  | 0.026     | -1.063 | 0.141          | -0.598 | 0.070        | 1.569  | 0.143          | 8.228       | 0.046           | 30.752    | 6.104         | 22.403     | 4.447          | 0.419 | 0.055 | -0.377    | 0.054          | 0.061           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 1103 | 39.991 | -1.556 | 0.378 | 3     | 8.990  | 2058.688 | 6352453491232070759018921984.000 | 4862.190 | 5007.700 | 6563.942 | 6583.956 | 6717.770  | 6731.666  | 6698.833  | 6899.309  | 9043.406  | 9070.980  | 9255.341    | 9274.485    | 2411.840  | 6465.800  | 8847.010  | 645.819   | 1381.730  | 904.283   | 105.834  | 88.128   | 119.597  | 127.891           | 124.049          | 122.484          | 2.390 | 0.113  | 0.073 | 0.014          | 0.258 | 0.020         | 0.378  | 0.021     | -1.137 | 0.086          | -0.588 | 0.034        | 1.515  | 0.089          | 8.245       | 0.028           | 24.675    | 2.462         | 17.910     | 1.787          | 0.465 | 0.045 | -0.332    | 0.040          | 0.044           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 1103 | 39.991 | -1.556 | 0.378 | 3     | 8.990  | 2058.688 | 6352453491232070759018921984.000 | 4862.050 | 5007.667 | 6563.938 | 6584.220 | 6717.437  | 6731.645  | 6698.641  | 6899.263  | 9043.400  | 9071.343  | 9254.882    | 9274.456    | 3246.920  | 8495.200  | 11628.300 | 1145.400  | 2089.290  | 1212.410  | 253.356  | 263.387  | 392.643  | 475.827           | 395.293          | 407.125          | 2.228 | 0.196  | 0.099 | 0.041          | 0.284 | 0.050         | 0.348  | 0.038     | -1.007 | 0.181          | -0.547 | 0.076        | 1.354  | 0.185          | 8.297       | 0.059           | 17.214    | 3.045         | 12.494     | 2.210          | 0.531 | 0.098 | -0.275    | 0.073          | 0.088           | False      | False      | True       | False      | False        | True         | False              | False              | False              | False              | True         |
| 1233 | 39.953 | -1.567 | 0.367 | 3     | 10.090 | 1987.692 | 6133381669132702416940040192.000 | 4862.104 | 5007.811 | 6563.626 | 6583.962 | 6717.892  | 6732.458  | 6645.184  | 6844.325  | 8970.705  | 8998.499  | 9181.544    | 9201.452    | 358.094   | 424.325   | 3850.600  | 1790.020  | 1083.960  | 967.887   | 85.509   | 96.189   | 199.495  | 221.233           | 210.125          | 187.868          | 0.403 | 0.147  | 0.465 | 0.062          | 0.533 | 0.078         | -0.395 | 0.159     | -0.333 | 0.058          | -0.273 | 0.064        | -0.062 | 0.169          | 8.750       | 0.054           | 1.544     | 0.373         | 1.130      | 0.273          | 0.236 | 0.141 | -0.626    | 0.203          | 0.392           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 1233 | 39.953 | -1.567 | 0.367 | 3     | 10.090 | 1987.692 | 6133381669132702416940040192.000 | 4862.298 | 5007.823 | 6563.653 | 6584.221 | 6717.856  | 6732.596  | 6645.448  | 6844.342  | 8970.741  | 8998.853  | 9181.495    | 9201.641    | 509.354   | 563.119   | 4648.370  | 2188.500  | 1587.110  | 1431.250  | 132.804  | 136.456  | 226.785  | 249.644           | 241.806          | 218.886          | 0.403 | 0.158  | 0.471 | 0.058          | 0.649 | 0.077         | -0.395 | 0.171     | -0.327 | 0.054          | -0.188 | 0.051        | -0.068 | 0.179          | 8.752       | 0.057           | 1.719     | 0.453         | 1.258      | 0.332          | 0.236 | 0.150 | -0.628    | 0.214          | 0.442           | False      | False      | False      | False      | False        | False        | False              | False              | False              | False              | False        |
| 1483 | 39.981 | -1.545 | 0.386 | 3     | 10.460 | 2112.848 | 6519571342284312232014643200.000 | 4925.910 | 4925.910 | 6559.771 | 6581.373 | 6685.062  | 6685.062  | 6827.705  | 6827.705  | 9092.367  | 9122.310  | 9266.031    | 9266.031    | 1732.510  | 1732.510  | 2723.680  | 2075.760  | 1419.500  | 1419.500  | 272.820  | 272.820  | 452.165  | 522.782           | 368744000000.000 | 368744000000.000 | 0.390 | 0.095  | 0.762 | 0.230          | 1.042 | 191462567.498 | -0.409 | 0.106     | -0.118 | 0.131          | 0.018  | 79773542.661 | -0.291 | 0.169          | 8.823       | 0.054           | 1.914     | 0.313         | 1.381      | 0.226          | 0.005 | 0.003 | -2.298    | 0.186          | 0.331           | False      | False      | False      | False      | True         | True         | False              | False              | False              | True               | True         |
